Company,Website,Sector,Description,Investment Year,Round,Status,Recent 2025-2026,Eric Bahn Investment
Hemster,hemster.co,Consumer,Consumer platform,2020-2021,Seed,Active,No,Yes (Hustle Fund)
Ryna,ryna.app,Real Estate,Real estate technology platform,2021-2022,Seed,Active,No,Yes (Hustle Fund)
Possible Finance,possiblefinance.com,FinTech,Alternative credit loans provider,2019-2020,Seed,Active,No,Yes (Hustle Fund)
Fintor,fintor.com,FinTech,Fractional real estate investment platform,2021-2022,Seed,Active,No,Yes (Hustle Fund)
Lifepal,lifepal.co.id,InsurTech,Insurance marketplace Indonesia,2019-2020,Seed,Acquired,No,Yes (Hustle Fund)
Setter,setter.com,Home Services,Home maintenance service platform,2019-2020,Seed,Acquired,No,Yes (Hustle Fund)
Harvest Platform,harvestplatform.com,FinTech,Bank fee negotiation and refund automation,2019-2020,Seed,Acquired,No,Yes (Hustle Fund)
Unstack,unstack.com,MarTech,No-code marketing platform,2020-2021,Seed,Acquired,No,Yes (Hustle Fund)
Modus,moduscapital.com,FinTech/Real Estate,Home closing security platform,2020-2021,Seed,Acquired,No,Yes (Hustle Fund)
DoubleLoop,doubleloop.app,B2B SaaS,Product analytics and strategy platform,2020-2021,Seed,Acquired by Mixpanel Oct 2025,No,Yes (Hustle Fund)
Pocketed,pocketed.io,FinTech,Government grants finder,2021-2022,Seed,Exit Mar 2025,No,Yes (Hustle Fund)
Noble Mobile,noblemobile.com,Mobile,Mobile technology,2025,Seed,Active,★ 2025-09-16,Yes (Hustle Fund)
Harmony AI,harmonyai.com,AI/Productivity,Workflow automation platform,2025,Seed - $1.6M,Active,★ 2025-07,Yes (Hustle Fund)
Punchup Live,punchup.live,Entertainment,Live entertainment platform,2025,Seed - $2.3M,Active,★ 2025-06,Yes (Hustle Fund)
Elfie,elfie.health,Digital Health,Digital therapeutics accessibility platform,2025,Seed - $12M,Active,★ 2025,Yes (Hustle Fund)
Mappa,mappa.world,Tech,Technology platform,2025,Seed,Active,★ 2025 - First-time,Yes (Hustle Fund)
Guama,guama.co,Tech,Technology platform,2025,Seed,Active,★ 2025 - First-time,Yes (Hustle Fund)
Daydream,daydream.com,B2B SaaS,Programmatic SEO platform,2024-2025,Pre-seed - $2.5M,Active,★ 2024-2025,Yes (Hustle Fund)
Cargon,cargon.com,Logistics,Logistics technology,2023,Seed - $1.7M,Active,No,Yes (Hustle Fund)
Bevz,bevz.com,Consumer,Beverage delivery platform,2023,Seed - $3.3M,Active,No,Yes (Hustle Fund)
Aviato,aviato.co,B2B SaaS,Private market data analytics platform,2024-07,Seed,Active,No,Yes (Personal Angel)
Haven,askhaven.com,Healthcare/Wellness,Healthcare and wellness platform,2024+,Angel,Active,No,Yes (Personal Angel)
Passthrough,passthrough.app,FinTech,Payments and financial technology,2024+,Angel,Active,No,Yes (Personal Angel)
GotSafety,gotsafety.com,Health-tech,Safety and health technology,2025,Seed,Active,★ 2025,Yes (Personal Angel)
Investrio,investrio.com,FinTech,AI bookkeeper platform,2025,Seed,Active,★ 2025,Yes (Hustle Fund - The Pitch Show)
