Category,Item,Details,대화 활용 팁
직장 경험,PM 평가,"'did a great job as a PM, strong interaction with engineers, helping remove blockers and move fast'",실행력과 협업 능력 인정받음
투자 철학,핵심 철학,"'Hustle = Great Execution + High Velocity'",주당 실행 속도로 팀 평가
투자 철학,운 vs 실력,"'Stop calling it skill. It's really just luck.' - 아버지 탈북 스토리에서 비롯된 겸손함",실리콘밸리 오만함 비판 - 성공은 운이 크다
투자 철학,Pedigree 무시,"'Great hustlers look like anyone and come from anywhere' - 배경보다 실행력",학력/배경 안 따짐 - 본인도 디트로이트 출신 이민자 가정
투자 철학,빠른 의사결정,"며칠 내 투자 결정 (수개월 아님), $25K-$150K 첫 체크",빠른 의사결정을 자랑으로 여김
투자 철학,Social Contract,"투자 전 창업자와 'Social Contract' 수립 - Blunt Honesty + No Surprises + Safety","창업자가 나쁜 소식도 편하게 공유할 수 있는 환경 중시"
투자 철학,과거 트라우마,"창업자 시절 투자자들이 무서웠음 - 이 경험이 현재 '안전한 환경' 철학으로 발전",공감할 수 있는 포인트
투자 철학,Anti-thesis,"Consumer ads, Games, Pharma, E-commerce, 미국/캐나다 외 법인에는 투자 안 함",이 분야면 피칭하지 말 것
공동 창업자,Elizabeth Yin,Stanford 신입생 때부터 친구 (20년+),500 Startups Partner 출신
공동 창업자,Shiyan Koh,"싱가포르인, Stanford 동기, NerdWallet 초기 멤버",동남아시아 투자 담당
공동 창업자,관계 깊이,"'chosen family' - 25년+ 우정, 'this to be our last job'",단순 비즈니스 파트너가 아닌 가족 같은 관계
개인 습관,단식 (Fasting),"주 1회 24시간 단식 + 간헐적 단식 - 체중 감량, 배고픔에 대한 관점 변화",건강/웰니스에 관심 - 이 주제로 대화 가능
개인 습관,기도 (Prayer),"가톨릭 성장, 최근 기도 재개 - 'What do I need to do to achieve this?' 방식",영적인 면도 있음 - 종교 이야기 조심스럽게 가능
개인 습관,친구 시간,"맥주 마시고, 음식 먹고, 서로 놀리고, 게임 보기",캐주얼한 사교 즐김
개인 습관,만약 VC 안 했다면,"'probably be in a classroom somewhere, trying to make a difference' - 교사",교육에 대한 열정
자녀 교육,iPad 규칙,"아들 iPad 중독 해결책: 읽은 시간만큼 iPad 시간 획득 → 하루 2-3시간 독서하게 됨",아내 Bea의 아이디어 - 실용적 육아 팁 관심 있음
자녀 교육,한국 문화,"자녀들 한국 방문시켜 한국어만 하는 사촌들과 교류",한국 heritage 전달 노력
자녀 교육,가치관 교육,매년 Family Values Social Contract 미팅,체계적이고 민주적인 가정 운영
명언/인용구,운과 겸손,"'Stop calling it skill. It's really just luck.' - 아버지가 강 건널 때 울었으면 Eric은 존재 안 했을 것","실리콘밸리 hubris 비판, 자신의 존재 자체가 운"
명언/인용구,실행 속도,"'Simply moving fast is one of the most underrated ways to win opportunities'",빠른 실행 강조
명언/인용구,2026 예측,"'Prepare yourself for 2026, where humanity may experience its greatest moment of Creative Destruction'",AI로 인한 급격한 변화 예상 - 두려움과 흥분 공존
명언/인용구,부트스트랩 마인드,"'Founders should treat each raise as your last, and focus on building an awesome going concern'",검소하고 지속가능한 성장 중시
명언/인용구,투자자 안전,"'It's almost like witnessing a sigh of relief in that moment when founders realize they can feel totally safe with us'",창업자 심리적 안전 중시
명언/인용구,노력의 유전,"'hustle is baked into my DNA, shaped by my parents' journey and the quiet strength they modeled every day'",부모님의 이민자 정신이 본인 가치관 형성
명언/인용구,꿈의 아내,"'My dream wife: - I'm married to her. - We love each other. A LOT.'",아내에 대한 깊은 애정
미디어 활동,First Pitches Podcast,"Lolita Taub와 공동 진행 - 유명 창업자들의 첫 피치 공개",Box/Cloudflare/Drift 등 CEO 출연
미디어 활동,The Pitch Show,투자자로 출연 - Investrio 등 스타트업 평가,최근 투자 활동 엿볼 수 있음
미디어 활동,LinkedIn/X 활발,정기적으로 투자 철학과 조언 공유,여기서 최신 생각 확인 가능
미디어 활동,북한 스토리 원문,"LinkedIn 2014년 글 'Stop calling it skill. It's really just luck.'에서 공개",이 글에서 아버지 탈북 스토리 전체 공개
대화 주제 추천,한국 이야기,아버지 북한 탈출 스토리 / 아내와의 한국 문화 공유 / 자녀 한국 방문,진정성 있게 한국 heritage 물어보기 - 단 탈북 스토리는 무거우니 적절한 맥락에서
대화 주제 추천,가족 이야기,아내 Bea / 자녀 Stella & Owen / Family Social Contract,가족을 매우 소중히 여김
대화 주제 추천,실패 경험,게임 스타트업 실패 이야기,실패에서 배운 교훈 공유 좋아함
대화 주제 추천,Stanford 친구들,Elizabeth Yin / Shiyan Koh와의 25년 우정,오래된 친구들과 일하는 것 자랑스러워함
대화 주제 추천,피해야 할 주제,"Consumer apps, Games, E-commerce 피칭 / 느린 실행 속도 / 투자금 낭비",빠른 실행과 검소함 중시
소셜 미디어,Twitter/X,@ericbahn - 88.1K followers,가장 활발한 플랫폼
소셜 미디어,LinkedIn,linkedin.com/in/ericbahn,전문적 콘텐츠 공유
소셜 미디어,Medium,@eric_50617,제한적 활동
연락처,Email,eric@hustlefund.vc (추정),
연락처,Website,hustlefund.vc,
연락처,Angel Squad,$1K부터 함께 투자 가능,hustlefund.vc/squad
